Attrition,Gender,Age,MaritalStatus,EducationField,Level of Education,MonthlyIncome,DistanceFromHome,NumCompaniesWorked,JobLevel,OverTime,PercentSalaryHike,PerformanceRating,BusinessTravel,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance
Yes,Female,30,Single,Marketing,4,6696,26,5,2,No,15,3,Travel_Frequently,0,6,3,0,1,3,2,1,3,2
Yes,Male,29,Single,Technical Degree,3,2058,1,0,1,No,14,3,Travel_Rarely,0,6,2,1,5,3,3,3,4,2
No,Female,45,Single,Medical,3,8865,6,6,3,No,12,3,Non-Travel,0,19,7,12,8,4,2,4,4,3
No,Female,54,Married,Marketing,3,5940,3,2,2,No,14,3,Travel_Rarely,1,6,2,0,5,4,3,1,4,3
No,Male,36,Single,Life Sciences,2,5914,5,8,2,No,16,3,Travel_Rarely,0,13,11,3,7,4,3,2,4,4
No,Female,33,Married,Medical,4,2622,4,6,1,No,21,4,Travel_Rarely,0,3,2,1,1,3,2,2,4,3
No,Male,37,Divorced,Other,3,12185,11,1,3,Yes,14,3,Travel_Frequently,3,10,8,0,7,2,3,4,3,3
No,Male,38,Divorced,Life Sciences,3,10609,3,0,3,No,12,3,Travel_Rarely,2,16,10,5,13,1,3,3,3,2
No,Male,31,Married,Medical,4,4345,1,0,2,No,12,3,Non-Travel,1,5,4,1,4,3,1,3,4,3
No,Male,59,Married,Life Sciences,3,2177,3,3,1,No,17,3,Travel_Rarely,1,1,0,0,0,3,2,4,1,3
No,Male,37,Divorced,Marketing,4,2793,4,4,1,No,17,3,Travel_Frequently,1,9,8,5,8,1,3,4,3,3
No,Female,29,Married,Medical,1,7918,1,1,3,No,14,3,Travel_Frequently,1,11,10,4,1,2,3,4,4,3
No,Female,35,Single,Marketing,3,8789,1,1,3,No,14,3,Travel_Frequently,0,10,7,0,8,3,3,3,1,4
Yes,Male,29,Single,Medical,1,2389,18,1,1,Yes,13,3,Travel_Rarely,0,4,3,0,1,3,2,4,3,2
No,Female,52,Single,Life Sciences,3,3212,2,7,1,No,15,3,Travel_Rarely,0,2,2,2,2,3,2,4,2,2
No,Male,42,Married,Technical Degree,2,19232,4,1,5,No,11,3,Travel_Rarely,0,22,17,11,15,3,3,4,4,3
No,Male,59,Married,Medical,2,2267,6,8,1,No,17,3,Travel_Rarely,0,2,2,2,2,2,3,3,4,2
No,Female,50,Divorced,Medical,4,19517,1,3,5,No,11,3,Travel_Rarely,1,7,0,0,6,4,3,4,3,2
Yes,Male,33,Married,Medical,3,2436,14,5,1,Yes,13,3,Travel_Rarely,1,5,4,0,4,3,3,4,3,1
No,Female,43,Married,Marketing,3,16064,16,5,4,Yes,22,4,Travel_Rarely,1,17,13,1,9,4,3,4,3,3
Yes,Female,33,Married,Life Sciences,2,2707,2,7,1,No,20,4,Travel_Rarely,0,9,7,1,7,1,3,1,1,4
No,Male,52,Single,Life Sciences,4,19068,2,1,5,Yes,18,3,Non-Travel,0,33,7,15,12,1,2,3,4,4
No,Female,32,Married,Life Sciences,2,3931,4,2,1,No,11,3,Travel_Rarely,1,4,3,1,2,3,3,2,1,3
Yes,Male,32,Single,Life Sciences,3,3730,1,0,1,Yes,14,3,Travel_Rarely,0,3,2,1,2,4,2,3,4,1
No,Female,39,Divorced,Medical,4,2232,1,7,1,No,14,3,Travel_Rarely,3,3,2,1,2,3,3,3,3,3
No,Male,32,Married,Marketing,4,4465,26,0,2,No,18,3,Non-Travel,0,3,2,2,2,3,3,4,1,3
No,Male,41,Divorced,Life Sciences,2,3072,19,2,2,No,16,3,Travel_Rarely,2,1,0,0,0,3,3,1,1,2
No,Male,40,Divorced,Technical Degree,2,3319,24,1,2,No,17,3,Travel_Rarely,2,9,8,4,7,1,3,4,1,3
No,Male,45,Married,Other,3,19202,1,0,5,No,11,3,Travel_Rarely,1,24,0,1,7,3,4,4,3,3
No,Male,31,Divorced,Medical,4,13675,3,9,3,No,12,3,Travel_Frequently,1,2,2,2,2,2,3,3,1,3
No,Female,33,Married,Life Sciences,4,2911,5,1,1,No,13,3,Travel_Rarely,1,2,2,0,2,3,2,4,3,2
No,Male,34,Married,Life Sciences,4,5957,2,6,2,No,13,3,Travel_Rarely,1,11,9,5,9,4,2,1,2,3
No,Female,37,Married,Medical,2,3920,1,2,1,No,14,3,Travel_Rarely,1,3,1,0,2,3,2,1,1,2
No,Male,45,Married,Life Sciences,4,6434,7,4,2,No,17,3,Travel_Frequently,1,3,2,0,2,1,4,3,4,3
Yes,Male,37,Divorced,Medical,3,10048,10,6,3,No,11,3,Travel_Frequently,2,1,0,0,0,1,3,3,2,3
No,Female,39,Single,Technical Degree,4,10938,2,0,3,No,25,4,Travel_Frequently,0,19,6,11,8,3,3,3,4,3
No,Male,29,Single,Life Sciences,3,2340,15,1,1,No,19,3,Travel_Rarely,0,6,5,1,5,3,3,4,1,3
No,Female,42,Single,Life Sciences,2,6545,17,3,2,Yes,13,3,Travel_Rarely,0,3,2,0,2,4,4,1,3,3
No,Male,29,Divorced,Marketing,2,6931,20,2,2,No,14,3,Travel_Rarely,1,3,2,0,2,4,3,4,4,3
No,Female,25,Married,Life Sciences,3,4898,1,0,2,No,12,3,Travel_Rarely,2,4,2,1,2,1,3,3,4,3
No,Female,42,Divorced,Medical,3,2593,2,0,1,Yes,11,3,Travel_Rarely,1,9,6,7,8,4,2,1,3,3
No,Male,40,Divorced,Medical,2,19436,2,0,5,No,19,3,Travel_Rarely,1,21,7,3,9,1,3,3,4,3
No,Male,51,Married,Life Sciences,3,2723,1,1,1,No,11,3,Travel_Rarely,0,1,0,0,0,3,3,4,2,2
Yes,Male,31,Single,Medical,2,3479,29,0,1,No,11,3,Travel_Frequently,0,5,4,1,4,3,2,2,2,4
No,Male,32,Married,Life Sciences,3,2794,7,1,1,No,20,4,Travel_Frequently,0,5,1,0,3,2,4,2,3,1
No,Male,38,Married,Life Sciences,2,5249,2,3,2,No,18,3,Non-Travel,1,8,7,7,5,4,2,4,4,3
No,Male,32,Single,Technical Degree,1,2176,2,4,2,No,13,3,Travel_Rarely,0,6,2,0,4,4,2,1,4,3
No,Female,46,Married,Technical Degree,3,16872,2,3,4,Yes,12,3,Travel_Rarely,1,7,7,7,7,3,1,2,2,2
Yes,Male,28,Single,Life Sciences,4,3485,2,2,1,No,11,3,Travel_Rarely,0,0,0,0,0,1,3,3,3,1
No,Male,29,Married,Medical,3,6644,2,2,2,No,19,3,Travel_Rarely,2,0,0,0,0,1,2,2,2,3
No,Male,31,Married,Medical,3,5582,23,0,2,No,21,4,Travel_Rarely,1,9,0,7,8,2,2,4,2,3
No,Male,25,Divorced,Life Sciences,2,4000,5,1,2,No,12,3,Non-Travel,2,6,3,1,5,2,4,1,4,3
No,Male,45,Married,Medical,2,13496,20,0,4,Yes,14,3,Travel_Rarely,0,20,7,4,10,3,3,4,2,3
No,Male,36,Married,Life Sciences,3,3210,6,0,1,No,11,3,Travel_Rarely,1,15,13,10,11,4,3,4,3,3
No,Male,55,Single,Medical,3,19045,1,0,5,Yes,14,3,Travel_Rarely,0,36,10,4,13,4,3,1,3,3
Yes,Male,47,Married,Life Sciences,4,11849,29,1,3,Yes,12,3,Non-Travel,1,10,7,9,9,1,3,2,4,2
No,Male,28,Married,Medical,3,2070,9,1,1,No,23,4,Travel_Rarely,1,5,2,0,4,4,3,4,4,2
No,Male,37,Married,Medical,4,6502,6,4,2,No,14,3,Travel_Rarely,1,5,4,0,1,3,3,4,2,4
No,Male,21,Single,Medical,2,3230,3,1,1,No,17,3,Travel_Rarely,0,3,2,1,0,4,2,3,1,4
No,Female,37,Divorced,Medical,4,13603,1,2,3,Yes,18,3,Non-Travel,2,5,2,0,2,1,3,4,1,3
No,Female,35,Divorced,Life Sciences,3,11996,22,7,3,No,18,3,Travel_Rarely,1,7,7,6,2,2,4,2,2,2
No,Female,38,Divorced,Medical,2,5605,7,1,2,Yes,24,4,Travel_Rarely,1,8,0,7,7,1,4,1,3,3
No,Female,26,Divorced,Life Sciences,3,6397,1,1,2,No,20,4,Travel_Frequently,1,6,5,1,4,3,3,2,1,1
No,Male,50,Divorced,Life Sciences,1,19144,4,3,5,No,14,3,Travel_Rarely,2,10,4,1,6,1,3,2,1,2
No,Male,53,Married,Medical,4,17584,3,3,4,Yes,16,3,Travel_Rarely,3,5,3,1,3,3,3,3,4,2
No,Male,42,Married,Life Sciences,1,4907,1,1,2,No,25,4,Travel_Rarely,0,20,16,11,6,2,3,3,3,3
No,Male,29,Single,Life Sciences,2,4554,2,1,2,No,18,3,Travel_Frequently,0,10,7,0,9,2,3,4,1,2
No,Male,55,Married,Technical Degree,2,5415,20,3,2,Yes,19,3,Travel_Rarely,1,10,7,0,8,2,3,4,4,3
No,Male,26,Married,Medical,2,4741,11,1,2,Yes,13,3,Travel_Frequently,1,5,3,3,3,1,3,1,3,3
No,Female,37,Single,Life Sciences,3,2115,1,1,1,No,12,3,Travel_Rarely,0,17,12,5,7,4,3,4,2,3
Yes,Male,44,Divorced,Life Sciences,3,3161,24,3,1,Yes,22,4,Travel_Frequently,1,1,0,0,0,4,3,3,4,1
No,Male,38,Divorced,Life Sciences,4,5745,23,9,2,No,14,3,Travel_Rarely,1,2,2,1,2,4,3,4,2,3
Yes,Male,26,Divorced,Medical,4,2373,16,2,1,Yes,13,3,Travel_Rarely,1,3,2,0,2,1,3,2,4,3
No,Female,28,Single,Life Sciences,2,3310,8,1,1,No,21,4,Travel_Rarely,0,5,3,0,2,4,3,4,4,3
No,Female,49,Single,Life Sciences,4,18665,10,9,5,Yes,11,3,Travel_Frequently,0,3,2,1,2,3,3,1,4,3
No,Male,36,Single,Technical Degree,3,4485,3,4,2,No,12,3,Travel_Rarely,0,8,0,7,7,3,3,2,4,3
No,Female,31,Divorced,Marketing,3,2789,5,1,1,No,11,3,Travel_Frequently,1,2,2,2,2,4,3,2,3,2
Yes,Male,26,Single,Marketing,4,5828,4,1,2,Yes,12,3,Travel_Rarely,0,8,7,7,4,4,2,4,2,3
No,Male,37,Married,Medical,3,2326,9,1,1,Yes,12,3,Travel_Frequently,3,4,2,1,2,2,3,4,3,2
No,Female,42,Married,Marketing,3,13525,26,5,4,No,14,3,Travel_Frequently,1,20,4,4,8,3,3,2,4,4
Yes,Male,18,Single,Life Sciences,3,1420,3,1,1,No,13,3,Travel_Rarely,0,0,0,0,0,3,3,3,3,3
No,Male,35,Married,Marketing,3,8020,16,0,3,No,15,3,Travel_Rarely,2,11,9,6,9,3,3,2,3,2
No,Male,36,Married,Life Sciences,4,3688,18,4,1,No,18,3,Travel_Frequently,2,1,0,0,0,3,4,4,4,3
No,Male,51,Divorced,Medical,3,5482,2,5,2,No,18,3,Travel_Rarely,1,4,1,1,2,4,1,2,4,3
No,Male,41,Single,Life Sciences,4,16015,2,1,4,No,19,3,Travel_Rarely,0,22,10,0,4,4,3,2,2,3
No,Female,18,Single,Medical,3,1200,10,1,1,No,12,3,Travel_Rarely,0,0,0,0,0,4,2,3,1,3
No,Male,28,Single,Medical,2,5661,16,0,2,No,19,3,Travel_Rarely,0,8,3,0,7,2,4,1,3,3
No,Male,31,Married,Technical Degree,3,6929,7,4,2,No,11,3,Travel_Rarely,1,8,7,7,7,2,4,4,2,2
No,Male,39,Divorced,Medical,3,9613,1,0,3,No,17,3,Travel_Rarely,3,18,10,3,7,3,4,4,1,2
No,Female,36,Married,Life Sciences,4,5674,24,7,2,No,15,3,Non-Travel,1,9,8,0,8,2,3,2,3,3
No,Male,32,Married,Life Sciences,3,5484,7,1,2,No,14,3,Travel_Rarely,1,13,8,4,8,4,2,3,3,2
No,Female,38,Married,Life Sciences,2,12061,25,3,3,No,17,3,Travel_Rarely,1,10,8,0,1,1,2,2,3,3
No,Male,58,Divorced,Life Sciences,4,5660,1,2,2,Yes,13,3,Non-Travel,1,5,3,1,2,4,1,3,4,3
No,Male,31,Married,Technical Degree,4,4821,5,0,1,Yes,12,3,Travel_Rarely,1,5,2,0,3,3,3,4,3,3
No,Male,31,Married,Human Resources,3,6410,2,3,2,No,12,3,Travel_Rarely,0,2,2,1,0,1,2,1,4,3
No,Male,45,Divorced,Life Sciences,3,5210,7,1,3,No,18,3,Travel_Frequently,1,24,9,9,11,1,3,1,1,3
No,Male,31,Divorced,Life Sciences,4,2695,2,0,1,Yes,18,3,Travel_Rarely,1,2,2,2,2,3,3,4,2,1
No,Female,33,Married,Life Sciences,4,11878,5,6,3,No,11,3,Travel_Frequently,2,10,6,8,8,4,3,2,2,3
No,Male,39,Married,Medical,1,17068,10,1,4,Yes,14,3,Travel_Rarely,0,21,9,11,10,3,3,1,4,3
No,Female,43,Single,Life Sciences,4,2455,10,0,1,No,19,3,Travel_Frequently,0,8,7,1,7,3,3,4,1,3
No,Female,49,Single,Technical Degree,2,13964,1,7,4,Yes,12,3,Travel_Rarely,0,7,1,0,7,3,2,3,4,3
Yes,Male,52,Married,Medical,4,4941,8,2,2,No,15,3,Travel_Rarely,0,8,2,7,7,3,2,2,1,2
No,Female,27,Single,Life Sciences,3,2478,5,1,1,Yes,12,3,Travel_Rarely,0,4,3,1,2,3,3,2,2,2
No,Female,32,Married,Technical Degree,2,5228,8,1,2,Yes,11,3,Travel_Rarely,0,13,12,11,9,3,2,2,4,3
No,Male,27,Single,Life Sciences,3,4478,2,1,2,Yes,11,3,Travel_Rarely,0,5,4,0,4,4,3,3,1,3
No,Male,31,Divorced,Marketing,3,7547,7,4,2,No,12,3,Travel_Rarely,3,7,7,1,7,4,3,4,4,3
No,Female,32,Single,Medical,4,5055,2,7,2,No,16,3,Travel_Rarely,0,7,7,0,7,1,4,4,3,2
Yes,Male,28,Married,Medical,4,3464,2,5,1,Yes,13,3,Travel_Rarely,0,3,2,2,2,1,1,4,4,2
No,Female,30,Married,Medical,2,5775,28,1,2,No,13,3,Travel_Rarely,2,10,8,1,9,4,3,4,4,3
No,Female,31,Married,Life Sciences,2,8943,7,1,3,No,24,4,Travel_Frequently,1,10,9,8,9,3,2,3,1,3
No,Male,39,Married,Medical,2,19272,7,1,5,No,15,3,Travel_Frequently,1,21,9,13,3,3,2,4,1,3
Yes,Female,39,Married,Medical,2,5238,3,4,2,Yes,18,3,Travel_Rarely,0,1,0,0,0,4,3,3,1,2
No,Male,33,Single,Marketing,3,4682,10,3,2,No,14,3,Travel_Frequently,0,7,7,0,1,2,2,4,3,2
No,Male,47,Married,Life Sciences,5,18300,5,4,5,No,11,3,Travel_Rarely,1,3,2,1,1,4,3,3,2,3
No,Female,43,Divorced,Life Sciences,4,5257,10,1,2,No,11,3,Travel_Frequently,1,9,7,0,0,3,2,3,2,4
No,Male,27,Married,Marketing,1,6349,1,0,2,Yes,13,3,Non-Travel,1,5,4,1,4,3,3,2,4,3
No,Female,54,Single,Life Sciences,4,4869,20,3,2,No,12,3,Travel_Frequently,0,4,3,0,3,4,3,3,4,2
No,Female,43,Married,Life Sciences,3,9985,7,8,3,No,16,3,Travel_Rarely,1,1,0,0,0,3,3,1,1,2
No,Male,45,Married,Other,4,3697,8,9,2,No,14,3,Travel_Rarely,2,10,9,9,8,4,3,4,1,3
No,Male,40,Married,Medical,2,7457,1,2,2,Yes,22,4,Travel_Rarely,3,4,3,0,2,2,1,4,3,2
Yes,Male,29,Married,Other,4,2119,8,1,1,Yes,11,3,Travel_Rarely,0,7,7,0,7,2,1,1,4,2
No,Male,29,Single,Other,5,3983,9,0,1,No,17,3,Travel_Rarely,0,3,2,2,2,2,2,4,3,3
No,Female,30,Divorced,Marketing,3,6118,5,1,2,No,13,3,Travel_Rarely,3,10,9,1,2,4,2,3,3,3
No,Female,27,Married,Marketing,4,6214,8,1,2,No,18,3,Travel_Rarely,1,8,7,0,7,2,3,2,1,3
No,Male,37,Divorced,Medical,2,6347,5,7,2,No,16,3,Travel_Rarely,2,6,2,0,4,4,3,4,3,2
No,Male,38,Divorced,Life Sciences,2,11510,15,0,3,Yes,14,3,Travel_Rarely,1,11,10,2,9,3,2,4,2,3
No,Female,31,Single,Medical,4,7143,7,1,3,Yes,14,3,Travel_Rarely,0,11,9,4,10,3,3,4,3,2
No,Female,29,Divorced,Marketing,1,8268,10,1,2,Yes,14,3,Travel_Rarely,2,7,7,1,7,4,2,2,1,3
No,Male,35,Single,Technical Degree,4,8095,5,0,3,No,13,3,Travel_Rarely,0,16,6,0,13,3,3,2,4,3
No,Male,23,Divorced,Life Sciences,1,2904,26,1,1,No,12,3,Travel_Rarely,2,4,2,0,2,3,3,4,3,2
No,Male,41,Single,Medical,3,6032,6,6,2,Yes,15,3,Travel_Rarely,0,5,4,1,2,4,2,2,4,3
No,Male,47,Single,Medical,1,2976,4,3,2,No,19,3,Travel_Frequently,0,0,0,0,0,2,3,3,1,3
No,Female,42,Single,Life Sciences,5,15992,23,2,4,No,14,3,Travel_Rarely,0,1,0,0,0,1,3,4,2,3
No,Male,29,Married,Life Sciences,3,4649,2,1,2,No,14,3,Non-Travel,1,4,3,0,2,4,3,3,1,2
No,Male,42,Divorced,Technical Degree,1,2696,2,0,1,Yes,11,3,Travel_Rarely,1,3,2,1,0,3,3,3,3,3
No,Female,32,Married,Medical,3,2370,2,1,1,No,13,3,Travel_Rarely,1,8,0,0,7,3,3,2,3,3
No,Female,48,Married,Medical,1,12504,29,3,3,No,21,4,Travel_Rarely,1,0,0,0,0,1,3,3,2,1
No,Male,37,Divorced,Medical,3,5974,6,4,2,Yes,13,3,Travel_Rarely,2,7,7,6,7,3,4,1,1,3
No,Female,30,Married,Technical Degree,2,4736,25,7,2,Yes,12,3,Non-Travel,1,2,2,2,2,4,3,3,2,4
No,Male,26,Married,Life Sciences,3,5296,1,1,2,No,17,3,Travel_Rarely,1,8,7,7,7,3,3,3,2,3
No,Male,42,Single,Other,4,6781,2,3,2,No,23,4,Travel_Rarely,0,1,0,0,0,1,2,4,2,3
Yes,Female,21,Single,Technical Degree,1,2174,1,1,1,Yes,11,3,Travel_Frequently,0,3,2,1,2,1,2,2,3,3
No,Female,36,Single,Medical,5,6653,1,4,2,No,15,3,Non-Travel,0,1,0,0,0,4,3,4,2,3
No,Male,36,Married,Medical,4,9699,3,4,3,No,11,3,Travel_Frequently,1,13,9,1,12,1,2,4,1,3
No,Male,57,Married,Medical,4,6755,1,2,2,No,11,3,Travel_Rarely,0,3,2,1,2,4,3,3,3,3
No,Female,40,Married,Life Sciences,4,2213,10,3,1,Yes,13,3,Travel_Rarely,1,7,7,1,7,4,4,3,3,3
No,Male,21,Single,Medical,2,2610,9,1,1,No,24,4,Non-Travel,0,3,2,2,2,1,3,4,3,2
Yes,Female,33,Single,Marketing,3,2851,5,1,1,Yes,13,3,Travel_Rarely,0,1,0,0,0,4,3,3,2,3
No,Female,37,Married,Medical,3,3452,10,6,1,No,20,4,Travel_Rarely,1,5,4,0,3,3,3,1,2,3
No,Female,46,Married,Medical,4,5258,7,2,2,No,14,3,Non-Travel,0,1,0,0,0,3,3,3,3,4
Yes,Male,41,Single,Marketing,3,9355,4,1,2,No,18,3,Travel_Frequently,0,8,7,7,7,1,3,2,3,3
No,Male,50,Single,Technical Degree,3,10496,10,6,3,No,15,3,Travel_Rarely,0,4,3,1,3,4,2,4,4,3
Yes,Male,40,Married,Marketing,2,6380,22,2,2,Yes,12,3,Travel_Rarely,2,6,4,1,0,3,2,3,1,3
No,Male,31,Single,Life Sciences,4,2657,9,0,1,Yes,16,3,Travel_Rarely,0,2,2,2,2,3,2,2,4,3
Yes,Female,21,Single,Life Sciences,3,2716,12,1,1,No,15,3,Travel_Rarely,0,1,0,0,0,3,4,2,4,3
No,Male,29,Single,Life Sciences,3,2201,23,9,1,No,16,3,Travel_Rarely,0,3,2,1,2,4,3,4,4,3
No,Male,35,Single,Life Sciences,4,6540,9,9,2,No,19,3,Travel_Rarely,0,1,1,0,0,3,2,2,3,3
No,Male,27,Divorced,Medical,2,3816,1,1,1,No,11,3,Travel_Rarely,1,5,2,0,4,4,3,2,2,3
No,Male,28,Single,Life Sciences,4,5253,9,1,2,No,16,3,Travel_Rarely,0,7,5,0,7,2,3,4,4,3
No,Male,49,Single,Other,3,10965,7,8,3,No,24,4,Travel_Rarely,0,5,2,0,0,2,2,3,3,3
No,Female,51,Married,Life Sciences,2,4936,14,4,2,No,11,3,Travel_Rarely,1,7,7,0,7,3,3,4,3,2
No,Female,36,Married,Life Sciences,3,2543,2,4,1,No,13,3,Travel_Rarely,1,2,2,2,2,4,3,3,2,3
Yes,Male,34,Single,Marketing,3,5304,19,8,2,Yes,13,3,Non-Travel,0,5,2,0,4,1,4,4,2,2
No,Female,55,Single,Life Sciences,3,16659,2,2,4,Yes,13,3,Travel_Rarely,0,5,4,1,2,3,3,4,3,3
No,Female,24,Divorced,Marketing,4,4260,10,1,2,Yes,12,3,Travel_Rarely,1,5,2,0,3,4,3,3,4,4
No,Male,30,Married,Technical Degree,1,2476,2,1,1,No,18,3,Travel_Rarely,1,1,0,0,0,3,3,2,1,3
Yes,Male,26,Single,Technical Degree,1,3102,3,0,1,No,22,4,Travel_Frequently,0,6,4,0,4,3,3,1,3,3
No,Female,22,Married,Medical,3,2244,11,1,1,No,13,3,Travel_Rarely,1,2,1,1,2,1,3,2,4,3
No,Male,36,Married,Medical,2,7596,2,1,3,No,13,3,Travel_Rarely,2,10,9,9,0,2,2,3,2,3
Yes,Male,30,Single,Technical Degree,3,2285,4,9,1,Yes,23,4,Travel_Frequently,0,1,0,0,0,3,3,4,3,3
No,Female,37,Divorced,Life Sciences,3,3034,14,1,1,No,12,3,Travel_Rarely,1,18,7,12,17,4,3,1,3,2
No,Female,40,Divorced,Marketing,2,5715,2,7,2,No,12,3,Travel_Rarely,2,5,4,1,3,4,3,2,3,3
No,Female,42,Divorced,Life Sciences,4,2576,1,3,1,No,16,3,Travel_Rarely,1,5,2,1,2,2,3,1,2,3
No,Male,37,Single,Life Sciences,4,4197,10,2,2,Yes,12,3,Travel_Rarely,0,1,0,0,1,3,3,2,4,2
No,Male,43,Divorced,Life Sciences,3,14336,12,1,4,No,11,3,Travel_Rarely,1,25,10,3,9,1,2,2,3,3
No,Female,40,Married,Medical,3,3448,2,6,2,No,22,4,Travel_Rarely,1,1,0,0,0,2,2,3,2,3
No,Male,54,Married,Medical,2,19406,5,4,5,No,11,3,Travel_Rarely,1,4,2,1,2,1,3,1,3,2
No,Female,34,Married,Marketing,4,6538,4,9,2,No,15,3,Non-Travel,1,3,2,1,2,3,3,3,1,3
No,Female,31,Married,Medical,2,4306,7,1,2,No,12,3,Travel_Rarely,1,13,10,3,12,2,3,1,2,1
No,Male,43,Married,Medical,3,2258,21,7,1,No,20,4,Travel_Frequently,1,3,2,1,2,4,3,4,1,3
No,Female,43,Divorced,Other,4,4522,8,4,2,Yes,14,3,Travel_Rarely,0,5,2,0,2,3,3,3,4,3
No,Female,25,Single,Life Sciences,2,4487,4,1,2,Yes,11,3,Travel_Rarely,0,5,4,1,3,2,2,4,2,3
No,Female,37,Married,Medical,5,4449,25,3,2,Yes,15,3,Non-Travel,2,13,11,10,7,2,3,3,1,3
No,Male,31,Married,Life Sciences,2,2218,1,1,1,No,12,3,Travel_Rarely,1,4,2,3,2,4,2,1,3,3
No,Male,39,Divorced,Life Sciences,1,19197,1,1,5,Yes,14,3,Travel_Frequently,1,21,8,1,6,2,3,3,3,3
No,Female,56,Married,Life Sciences,3,13212,6,9,4,No,11,3,Travel_Frequently,3,7,7,7,7,3,4,1,4,2
No,Female,30,Single,Technical Degree,3,6577,12,0,2,No,11,3,Travel_Rarely,0,5,4,4,4,2,3,3,2,3
No,Male,41,Married,Marketing,3,8392,1,1,3,No,16,3,Travel_Rarely,1,10,7,0,7,2,4,1,3,3
No,Male,28,Divorced,Medical,2,4558,17,1,2,No,12,3,Travel_Rarely,1,10,0,1,8,3,3,1,4,3
Yes,Male,25,Married,Medical,3,4031,3,5,1,No,13,3,Travel_Rarely,1,2,2,0,2,1,3,1,3,3
No,Male,52,Married,Medical,3,7969,3,2,3,Yes,14,3,Travel_Rarely,0,5,4,0,4,4,2,3,3,3
No,Male,45,Married,Life Sciences,2,2654,10,3,1,No,21,4,Travel_Rarely,2,2,2,0,2,1,3,4,4,2
No,Female,52,Married,Life Sciences,2,16555,4,2,4,No,13,3,Travel_Rarely,0,5,2,1,4,4,3,4,4,1
No,Female,42,Divorced,Life Sciences,2,4556,29,2,2,No,11,3,Travel_Frequently,1,5,4,0,2,1,3,3,2,3
No,Female,30,Single,Life Sciences,3,6091,2,2,2,No,20,4,Travel_Rarely,0,5,4,0,2,3,1,4,3,3
No,Female,60,Married,Life Sciences,3,19566,7,5,5,No,11,3,Travel_Rarely,0,29,8,11,10,1,3,1,4,1
No,Female,46,Divorced,Medical,3,4810,18,2,2,No,14,3,Travel_Rarely,1,10,7,0,8,3,3,3,3,2
No,Female,42,Married,Technical Degree,4,4523,28,0,2,No,11,3,Travel_Frequently,3,6,5,0,4,4,2,4,4,4
Yes,Female,24,Single,Technical Degree,1,3202,1,1,1,Yes,16,3,Travel_Rarely,0,5,3,1,4,1,3,2,2,3
Yes,Female,34,Divorced,Marketing,2,2351,6,0,1,No,16,3,Travel_Frequently,1,2,2,1,0,4,1,3,4,2
No,Male,38,Married,Life Sciences,2,1702,2,1,1,Yes,23,4,Travel_Frequently,1,1,0,0,0,4,3,4,3,3
No,Female,40,Married,Life Sciences,4,18041,2,0,5,No,14,3,Travel_Rarely,0,20,15,1,12,3,3,3,4,3
No,Female,26,Divorced,Life Sciences,3,2886,23,1,1,No,22,4,Travel_Rarely,2,3,2,0,2,1,3,4,2,1
No,Male,30,Married,Life Sciences,3,2097,3,4,1,No,15,3,Non-Travel,1,5,3,1,4,3,3,4,3,1
No,Male,29,Married,Medical,4,11935,3,1,3,No,18,3,Travel_Rarely,0,10,2,0,7,2,2,3,3,3
Yes,Female,29,Married,Technical Degree,5,2546,25,5,1,No,16,3,Travel_Rarely,0,2,2,1,1,3,2,2,2,4
Yes,Male,19,Single,Technical Degree,2,2564,2,1,1,No,12,3,Travel_Rarely,0,1,0,0,0,1,2,4,3,4
No,Female,30,Married,Other,4,8412,22,0,3,No,11,3,Non-Travel,0,9,8,7,8,3,3,1,3,3
No,Male,57,Divorced,Marketing,3,14118,29,3,4,No,12,3,Travel_Rarely,1,1,0,0,0,1,2,4,3,2
No,Male,50,Married,Life Sciences,4,17046,29,0,4,No,15,3,Travel_Rarely,1,27,10,15,7,2,2,3,2,3
No,Female,30,Single,Medical,3,2564,2,0,1,No,14,3,Non-Travel,0,11,7,6,7,3,3,4,3,2
No,Female,60,Married,Marketing,3,10266,28,4,3,No,19,3,Travel_Frequently,0,18,13,13,11,3,2,1,4,4
No,Female,47,Divorced,Medical,2,5070,2,5,2,No,13,3,Travel_Rarely,3,5,0,0,4,1,3,4,3,3
No,Male,46,Married,Life Sciences,3,17861,2,6,4,No,13,3,Travel_Rarely,0,3,2,0,1,1,3,3,3,1
No,Male,35,Single,Life Sciences,3,4230,22,0,1,No,15,3,Travel_Rarely,0,5,4,4,3,4,1,3,3,3
No,Female,54,Single,Life Sciences,4,3780,8,7,2,No,11,3,Travel_Rarely,0,1,0,0,0,3,3,3,3,3
No,Male,34,Divorced,Life Sciences,4,2768,2,3,1,No,12,3,Travel_Rarely,1,7,3,5,7,4,2,3,3,3
No,Female,46,Married,Marketing,3,9071,10,2,3,Yes,19,3,Travel_Rarely,1,3,2,1,2,3,2,4,3,3
No,Male,31,Divorced,Life Sciences,1,10648,9,1,3,No,25,4,Travel_Rarely,1,13,8,0,8,3,3,2,4,4
